t,name,gvcp_trade,gvcp_prod
2000,Brunei Darussalam,0.48150919666601516,0.5318138334217793
2010,Brunei Darussalam,0.5279482973956404,0.571004347492403
2022,Brunei Darussalam,0.5928646998742315,0.5201750241240962
2022,Georgia,0.4798787956840228,0.22785982626971135
2000,Kazakhstan,0.5493022783347656,0.42796733334949194
2010,Kazakhstan,0.4414916601326572,0.3848866411800974
2022,Kazakhstan,0.4671434701927888,0.27373321813880636
2000,Kyrgyz Republic,0.44517981383346583,0.24305099661171162
2010,Kyrgyz Republic,0.4531619727304226,0.19096270624366787
2022,Kyrgyz Republic,0.47546491722286527,0.13991295083989072
2000,Mongolia,0.44781481747197793,0.25185143820138883
2010,Mongolia,0.4436522707087171,0.288231731557861
2022,Mongolia,0.5093642914138806,0.4574790521557712
2000,Russian Federation,0.42054165451720193,0.3253720945007382
2010,Russian Federation,0.4342846177346288,0.24310389926346002
2022,Russian Federation,0.4109308435451312,0.22444823643030948
2022,Saudi Arabia,0.3876085923168572,0.3045606648454259
2000,Turkey,0.3144608311638938,0.0981608349994928
2010,Turkey,0.40667540606510966,0.10666677151159228
2022,Turkey,0.5000104943004854,0.1681623463084043
2000,World,0.4059867889721678,0.1072723281118367
2010,World,0.44502809062693993,0.13097489078104824
2022,World,0.4870428337201842,0.14618078884906247
