t,i,abv,name,x,sf,se,sm,self_sufficiency,total,imports
2022,1,AHF,"Agriculture, hunting, forestry and fishing",196699.00229965552,196655.74658773042,27532.175833544752,27488.92012161965,1.000219956511191,1.1400018881282086,0.13978193161701746
2022,2,MIN,Mining and quarrying,503419.52534087637,135421.60503811372,398367.1891384484,30369.26883568554,3.717424004826937,3.9416811964850806,0.22425719165814248
2022,3,FBT,"Food, beverages and tobacco",184671.4432422145,185618.05959803885,20953.56043667242,21900.176792496735,0.994900192589696,1.112885354377952,0.11798516178825588
2022,4,TEX,Textiles and textile products,15216.769178857245,60752.96372565462,3490.4216896036432,49026.61623640102,0.25046957787232266,1.0574526981986514,0.8069831203263287
2022,5,LTH,"Leather, leather products and footwear",2407.9265641326638,12048.366528078734,791.8497944854305,10432.2897584315,0.19985502254774437,1.065722585102306,0.8658675625545617
2022,6,WDC,Wood and products of wood and cork,19285.838298472947,12633.75082269032,10154.761240847305,3502.673765064673,1.5265330596702464,1.8037803961282242,0.2772473364579775
2022,7,PPP,"Pulp, paper, printing and publishing",33372.30812441491,31615.446430560896,11225.122416315584,9468.260722461568,1.055569725947496,1.355051839643323,0.29948211369582706
2022,8,CRP,"Coke, refined petroleum and nuclear fuel",215460.06685105598,80639.81326082283,150877.88408808273,16057.630497849545,2.671882016320749,2.8710098397683614,0.19912782344761218
2022,9,CCP,Chemicals and chemical products,122124.14285532587,117073.08269872687,57355.69014609699,52304.62998949795,1.04314450461339,1.48991355505428,0.44676905044088966
2022,10,RBP,Rubber and plastics,36395.77578120625,36250.13770567188,11001.220804221344,10855.582728686959,1.0040175868217898,1.3034808003639677,0.29946321354217753
2022,11,ONM,Other non-metallic mineral,47631.70137271426,47767.65953686019,6660.626241012678,6796.584405158603,0.9971537612379561,1.1394379859844916,0.14228422474653543
2022,12,MFM,Basic metals and fabricated metal,274444.5040579433,213595.63467155755,136057.17962421622,75208.31023783046,1.2848788060671372,1.6369848327351308,0.3521060266679936
2022,13,MCH,"Machinery, not elsewhere classified",60685.6122529033,93410.09976381414,16839.181252731247,49563.668763642076,0.6496686376135541,1.1802715262622439,0.5306028886486898
2022,14,EOE,Electrical and optical equipment,52547.88698463933,75002.86609466092,11815.779752802464,34270.75886282406,0.7006117195350746,1.1575377097975137,0.4569259902624392
2022,15,TRE,Transport equipment,77237.07101608918,113368.08050777337,22711.427935838525,58842.4374275227,0.6812946878005333,1.2003335315735655,0.5190388437730321
2022,16,MFG,"Manufacturing, not elsewhere classified; recycling",17818.765595010136,19937.87745624145,4311.459558125552,6430.571419356867,0.8937142699426143,1.2162446613280729,0.32253039138545864
2022,17,UTL,"Electricity, gas and water supply",172723.1882683674,140192.3371261252,57620.86330240258,25090.01216016034,1.2320444313085068,1.4110129304040597,0.17896849909555257
