name,mean,sd
Australia,0.0022186118292647798,0.07017815974373845
Austria,-0.003008963718302621,0.027264692951186224
Belgium,-0.004386564750072116,0.02620789391002413
Bulgaria,0.020414524526147372,0.04233710436881031
Brazil,-0.008851140365586851,0.0981704323510958
Canada,-0.005860538326518811,0.052389535393217265
Switzerland,0.006961369325569413,0.03707601224747371
People's Republic of China,0.028694488752946182,0.03594947138676779
Cyprus,-0.010799573771823704,0.028235886467770654
Czech Republic,0.0062187439046885356,0.04372445016060334
Germany,-0.004891787984251711,0.03489402756599016
Denmark,-0.004465910936983419,0.03088484602954926
Spain,-0.00950703016604246,0.03710928926688014
Estonia,0.015342194811858343,0.041741246634864705
Finland,-0.006705080893046053,0.0332707119513214
France,-0.012419013906086896,0.030257714873635412
United Kingdom,-0.018947553638022654,0.05919445783587336
Greece,-0.019781169722084678,0.03948234883930434
Croatia,-0.006522491820120537,0.037709425997400195
Hungary,-0.0036439260946413946,0.037510593347228005
Indonesia,0.004547656862997639,0.05606949050834529
India,-0.003218809444272907,0.04087000453875055
Ireland,-0.01095311143302694,0.0546348394022032
Italy,-0.010945846278804107,0.034378465800628116
Japan,-0.019145509437986635,0.08637689264241873
Republic of Korea,-0.01638708384581136,0.0710070296303819
Lithuania,0.006713287437226471,0.03711557937469761
Luxembourg,0.010697782754181297,0.03135745029574827
Latvia,0.0058849277032882365,0.05392715286187948
Mexico,-0.014637891407625295,0.062019736246324564
Malta,0.004638477158492249,0.026644887132982267
Netherlands,-0.008726563131298989,0.031029805744261733
Norway,1.5015331980532768e-4,0.0778034706439303
Poland,-0.009627681409220842,0.04742059097023404
Portugal,-0.007532912381044966,0.03447675539694278
Romania,0.011253410288516046,0.06702230163741779
Russian Federation,0.019689009458140817,0.12970032458463993
Slovak Republic,2.3251996710078662e-4,0.03843484822003897
Slovenia,-0.006079168672564748,0.03136062787487256
Sweden,-0.00810068162151512,0.03590449033682914
Turkey,-0.04222681667545049,0.05716733291904424
"Taipei,China",-0.015488408760803206,0.0607847003490658
United States,-4.719140454390642e-4,0.052451304091945976
Bangladesh,0.02180058338076301,0.06457313071647253
Malaysia,-0.008967101646111357,0.04281658737150185
Philippines,0.0030164547728167568,0.036065046248154244
Thailand,0.004694119300225365,0.035827896326587554
Viet Nam,0.014449204364094106,0.03793489772494251
Kazakhstan,0.013102994721138631,0.09938306769157201
Mongolia,0.017557786080328815,0.09234734962924956
Sri Lanka,0.004482171950287364,0.0395033304776437
Pakistan,-0.0026444047642112008,0.0735423702742849
Fiji,-0.009523111609939051,0.05712889513492295
Lao People's Democratic Republic,0.012394393466113367,0.0502039703147436
Brunei Darussalam,7.620816788368178e-5,0.12373813868389205
Bhutan,-0.008270630458698247,0.04088991817095489
Kyrgyz Republic,0.005248357051009677,0.04429685303670098
Cambodia,0.010001219395381705,0.03362666082432235
Maldives,0.012612362457771614,0.06859070866713535
Nepal,0.011272022378835329,0.050949873792843166
Singapore,-0.0037224236376020613,0.024827833109118506
"Hong Kong, China",-0.00700851448449447,0.05494125868396527
